Ngày,Khu vực,Nhà Phân Phối,Sản phẩm, Doanh thu 
31-Aug-2019,Miền Nam,Viettel,SP 01, 155.10 
27-Nov-2020,Miền Trung,FPT,SP 02, 39.30 
07-Nov-2019,Miền Nam,Gà Excel,SP 03, 74.25 
02-Jun-2020,Miền Trung,VNPT,SP 04, 100.98 
01-Aug-2019,Miền Trung,Viettel,SP 05, 44.98 
14-Nov-2020,Miền Bắc,FPT,SP 06, 29.25 
13-Nov-2019,Miền Trung,Gà Excel,SP 07, 68.39 
04-Nov-2020,Miền Nam,VNPT,SP 05, 45.44 
26-Nov-2020,Miền Trung,Viettel,SP 08, 22.38 
08-Jul-2020,Miền Nam,FPT,SP 09, 49.25 
06-Dec-2020,Miền Nam,Gà Excel,SP 04, 67.32 
14-Dec-2019,Miền Trung,VNPT,SP 07, 23.50 
01-Dec-2019,Miền Bắc,Viettel,SP 05, 90.42 
11-Nov-2020,Miền Nam,FPT,SP 04, 66.30 
13-Mar-2020,Miền Nam,Gà Excel,SP 02, 19.95 
01-Feb-2019,Miền Trung,VNPT,SP 09, 25.00 
10-Jan-2019,Miền Trung,Viettel,SP 01, 79.95 
15-Nov-2020,Miền Nam,FPT,SP 04, 306.00 
12-Dec-2019,Miền Nam,Gà Excel,SP 02, 19.95 
22-Nov-2020,Miền Nam,VNPT,SP 05, 67.13 
10-Jul-2020,Miền Trung,Viettel,SP 04, 102.00 
27-Dec-2019,Miền Nam,FPT,SP 04, 66.64 
28-Sep-2019,Miền Trung,Gà Excel,SP 10, 27.09 
01-Nov-2019,Miền Nam,VNPT,SP 05, 44.52 
16-Jun-2020,Miền Trung,Viettel,SP 07, 47.00 
21-Nov-2019,Miền Nam,FPT,SP 09, 73.13 
23-Nov-2020,Miền Trung,Gà Excel,SP 02, 58.05 
25-Jan-2019,Miền Trung,VNPT,SP 09, 50.00 
25-Apr-2019,Miền Bắc,Viettel,SP 09, 25.00 
22-Nov-2019,Miền Trung,FPT,SP 02, 59.85 
05-Dec-2019,Miền Trung,Gà Excel,SP 06, 438.75 
16-Nov-2020,Miền Trung,VNPT,SP 02, 39.50 
26-Mar-2020,Miền Bắc,Viettel,SP 02, 59.85 
29-Dec-2019,Miền Trung,FPT,SP 10, 81.68 
29-Nov-2019,Miền Bắc,Gà Excel,SP 03, 75.00 
18-Nov-2020,Miền Nam,VNPT,SP 02, 59.25 
20-Nov-2020,Miền Nam,Viettel,SP 05, 22.61 
11-Nov-2019,Miền Trung,FPT,SP 02, 59.25 
05-Dec-2019,Miền Trung,Gà Excel,SP 02, 39.90 
06-Dec-2019,Miền Bắc,VNPT,SP 02, 19.45 
28-Jan-2019,Miền Bắc,Viettel,SP 02, 39.90 
01-Dec-2019,Miền Nam,FPT,SP 06, 88.20 
25-Jan-2019,Miền Trung,Gà Excel,SP 05, 22.49 
18-Apr-2020,Miền Bắc,VNPT,SP 03, 49.25 
25-Nov-2020,Miền Nam,Viettel,SP 10, 80.44 
03-Mar-2019,Miền Nam,FPT,SP 09, 50.00 
03-Dec-2019,Miền Nam,Gà Excel,SP 08, 45.90 
02-Nov-2019,Miền Nam,VNPT,SP 05, 22.95 
09-Nov-2020,Miền Trung,Viettel,SP 10, 26.95 
16-Nov-2019,Miền Trung,FPT,SP 03, 275.00 
09-Nov-2019,Miền Nam,Gà Excel,SP 04, 68.00 
09-Nov-2019,Miền Trung,VNPT,SP 01, 159.90 
05-Dec-2019,Miền Nam,Viettel,SP 02, 59.85 
23-Nov-2019,Miền Nam,FPT,SP 09, 50.00 
16-Dec-2020,Miền Trung,Gà Excel,SP 10, 495.00 
24-Dec-2020,Miền Nam,VNPT,SP 04, 68.00 
07-Apr-2019,Miền Trung,Viettel,SP 09, 367.50 
04-Dec-2019,Miền Nam,FPT,SP 06, 29.10 
30-Jul-2020,Miền Nam,Gà Excel,SP 08, 44.98 
25-Dec-2019,Miền Nam,VNPT,SP 08, 22.38 
29-Nov-2020,Miền Trung,Viettel,SP 09, 49.50 
01-Dec-2020,Miền Trung,FPT,SP 02, 39.90 
17-Nov-2020,Miền Nam,Gà Excel,SP 08, 22.95 
